"PassengerId","Survived","Age","Fare","Family_size","Pclass_2","Pclass_3","Embarked_Q","Embarked_S","Title_Master","Title_Military","Title_Miss","Title_Mr","Title_Mrs","Title_Nobility","Title_Rev","Sex_male"
1,"0",22,7.25,2,0,1,0,1,0,0,0,1,0,0,0,1
2,"1",38,71.2833,2,0,0,0,0,0,0,0,0,1,0,0,0
3,"1",26,7.925,1,0,1,0,1,0,0,1,0,0,0,0,0
4,"1",35,53.1,2,0,0,0,1,0,0,0,0,1,0,0,0
5,"0",35,8.05,1,0,1,0,1,0,0,0,1,0,0,0,1
6,"0",34.4230769230769,8.4583,1,0,1,1,0,0,0,0,1,0,0,0,1
7,"0",54,51.8625,1,0,0,0,1,0,0,0,1,0,0,0,1
8,"0",2,21.075,5,0,1,0,1,1,0,0,0,0,0,0,1
9,"1",27,11.1333,3,0,1,0,1,0,0,0,0,1,0,0,0
10,"1",14,30.0708,2,1,0,0,0,0,0,0,0,1,0,0,0
11,"1",4,16.7,3,0,1,0,1,0,0,1,0,0,0,0,0
12,"1",58,26.55,1,0,0,0,1,0,0,1,0,0,0,0,0
13,"0",20,8.05,1,0,1,0,1,0,0,0,1,0,0,0,1
14,"0",39,31.275,7,0,1,0,1,0,0,0,1,0,0,0,1
15,"0",14,7.8542,1,0,1,0,1,0,0,1,0,0,0,0,0
16,"1",55,16,1,1,0,0,1,0,0,0,0,1,0,0,0
17,"0",2,29.125,6,0,1,1,0,1,0,0,0,0,0,0,1
18,"1",32.0394736842105,13,1,1,0,0,1,0,0,0,1,0,0,0,1
19,"0",31,18,2,0,1,0,1,0,0,0,0,1,0,0,0
20,"1",33.5,7.225,1,0,1,0,0,0,0,0,0,1,0,0,0
21,"0",35,26,1,1,0,0,1,0,0,0,1,0,0,0,1
22,"1",34,13,1,1,0,0,1,0,0,0,1,0,0,0,1
23,"1",15,8.0292,1,0,1,1,0,0,0,1,0,0,0,0,0
24,"1",28,35.5,1,0,0,0,1,0,0,0,1,0,0,0,1
25,"0",8,21.075,5,0,1,0,1,0,0,1,0,0,0,0,0
26,"1",38,31.3875,7,0,1,0,1,0,0,0,0,1,0,0,0
27,"0",26.0555555555556,7.225,1,0,1,0,0,0,0,0,1,0,0,0,1
28,"0",19,263,6,0,0,0,1,0,0,0,1,0,0,0,1
29,"1",23.5769230769231,7.8792,1,0,1,1,0,0,0,1,0,0,0,0,0
30,"0",27.3461538461538,7.8958,1,0,1,0,1,0,0,0,1,0,0,0,1
31,"0",40,27.7208,1,0,0,0,0,0,0,0,0,0,1,0,1
32,"1",42.1538461538462,146.5208,2,0,0,0,0,0,0,0,0,1,0,0,0
33,"1",23.9,7.75,1,0,1,1,0,0,0,1,0,0,0,0,0
34,"0",66,10.5,1,1,0,0,1,0,0,0,1,0,0,0,1
35,"0",28,82.1708,2,0,0,0,0,0,0,0,1,0,0,0,1
36,"0",42,52,2,0,0,0,1,0,0,0,1,0,0,0,1
37,"1",26.0555555555556,7.2292,1,0,1,0,0,0,0,0,1,0,0,0,1
38,"0",21,8.05,1,0,1,0,1,0,0,0,1,0,0,0,1
39,"0",18,18,3,0,1,0,1,0,0,1,0,0,0,0,0
40,"1",14,11.2417,2,0,1,0,0,0,0,1,0,0,0,0,0
41,"0",40,9.475,2,0,1,0,1,0,0,0,0,1,0,0,0
42,"0",27,21,2,1,0,0,1,0,0,0,0,1,0,0,0
43,"0",26.952380952381,7.8958,1,0,1,0,0,0,0,0,1,0,0,0,1
44,"1",3,41.5792,4,1,0,0,0,0,0,1,0,0,0,0,0
45,"1",19,7.8792,1,0,1,1,0,0,0,1,0,0,0,0,0
46,"0",30.0142857142857,8.05,1,0,1,0,1,0,0,0,1,0,0,0,1
47,"0",34.8214285714286,15.5,2,0,1,1,0,0,0,0,1,0,0,0,1
48,"1",23.9,7.75,1,0,1,1,0,0,0,1,0,0,0,0,0
49,"0",26.2857142857143,21.6792,3,0,1,0,0,0,0,0,1,0,0,0,1
50,"0",18,17.8,2,0,1,0,1,0,0,0,0,1,0,0,0
51,"0",7,39.6875,6,0,1,0,1,1,0,0,0,0,0,0,1
52,"0",21,7.8,1,0,1,0,1,0,0,0,1,0,0,0,1
53,"1",49,76.7292,2,0,0,0,0,0,0,0,0,1,0,0,0
54,"1",29,26,2,1,0,0,1,0,0,0,0,1,0,0,0
55,"0",65,61.9792,2,0,0,0,0,0,0,0,1,0,0,0,1
56,"1",46.8214285714286,35.5,1,0,0,0,1,0,0,0,1,0,0,0,1
57,"1",21,10.5,1,1,0,0,1,0,0,1,0,0,0,0,0
58,"0",28.5,7.2292,1,0,1,0,0,0,0,0,1,0,0,0,1
59,"1",5,27.75,4,1,0,0,1,0,0,1,0,0,0,0,0
60,"0",11,46.9,8,0,1,0,1,1,0,0,0,0,0,0,1
61,"0",22,7.2292,1,0,1,0,0,0,0,0,1,0,0,0,1
62,"1",38,80,1,0,0,0,1,0,0,1,0,0,0,0,0
63,"0",45,83.475,2,0,0,0,1,0,0,0,1,0,0,0,1
64,"0",4,27.9,6,0,1,0,1,1,0,0,0,0,0,0,1
65,"0",40.0384615384615,27.7208,1,0,0,0,0,0,0,0,1,0,0,0,1
66,"1",6.30769230769231,15.2458,3,0,1,0,0,1,0,0,0,0,0,0,1
67,"1",29,10.5,1,1,0,0,1,0,0,0,0,1,0,0,0
68,"0",19,8.1583,1,0,1,0,1,0,0,0,1,0,0,0,1
69,"1",17,7.925,7,0,1,0,1,0,0,1,0,0,0,0,0
70,"0",26,8.6625,3,0,1,0,1,0,0,0,1,0,0,0,1
71,"0",32,10.5,1,1,0,0,1,0,0,0,1,0,0,0,1
72,"0",16,46.9,8,0,1,0,1,0,0,1,0,0,0,0,0
73,"0",21,73.5,1,1,0,0,1,0,0,0,1,0,0,0,1
74,"0",26,14.4542,2,0,1,0,0,0,0,0,1,0,0,0,1
75,"1",32,56.4958,1,0,1,0,1,0,0,0,1,0,0,0,1
76,"0",25,7.65,1,0,1,0,1,0,0,0,1,0,0,0,1
77,"0",27.3461538461538,7.8958,1,0,1,0,1,0,0,0,1,0,0,0,1
78,"0",30.0142857142857,8.05,1,0,1,0,1,0,0,0,1,0,0,0,1
79,"1",0.83,29,3,1,0,0,1,1,0,0,0,0,0,0,1
80,"1",30,12.475,1,0,1,0,1,0,0,1,0,0,0,0,0
